athlete_id,athlete_name,gender,country_id,sport_id
1,강건욱,남자,KR,66
2,강민호,남자,KR,27
3,강윤미,여자,KR,55
4,강재원,남자,KR,49
5,강준호,남자,KR,15
6,강초현,여자,KR,17
7,강희찬,남자,KR,41
8,고기현,여자,KR,55
9,고석창,남자,KR,49
10,고영민,남자,KR,27
11,공상정,여자,KR,55
12,곽대성,남자,KR,31
13,곽동한,남자,KR,31
14,곽윤기,남자,KR,55
15,구대성,남자,KR,27
16,구본길,남자,KR,45
17,구본찬,남자,KR,28
18,구자철,남자,KR,37
19,권수현,여자,KR,66
20,권창숙,여자,KR,66
21,권혁,남자,KR,27
22,기미숙,여자,KR,49
23,기보배,여자,KR,28
24,기성용,남자,KR,37
25,길영아,여자,KR,14
26,김경석,남자,KR,66
27,김경순,여자,KR,49
28,김경아,여자,KR,41
29,김경애,여자,KR,62
30,김경욱,여자,KR,28
31,김경훈,남자,KR,42
32,김광선,남자,KR,15
33,김광현,남자,KR,27
34,김기태,남자,KR,27
35,김기택,남자,KR,41
36,김기훈,남자,KR,55
37,김기희,남자,KR,37
38,김남선,여자,KR,49
39,김남순,여자,KR,28
40,김대은,남자,KR,4
41,김동문,혼성,KR,14
42,김동성,남자,KR,55
43,김동주,남자,KR,27
44,김동현,남자,KR,54
45,김랑,여자,KR,49
46,김만호,남자,KR,49
47,김명순,여자,KR,49
48,김명옥,여자,KR,66
49,김무교,여자,KR,41
50,김문수,남자,KR,14
51,김미선,여자,KR,66
52,김미숙,여자,KR,49
53,김미심,여자,KR,49
54,김미정,여자,KR,31
55,김민석,남자,KR,59
56,김민수,남자,KR,31
57,김민재,남자,KR,27
58,김민재,남자,KR,29
59,김법민,남자,KR,28
60,김병주,남자,KR,31
61,김보경,남자,KR,37
62,김보람,남자,KR,28
63,김보름,여자,KR,59
64,김상규,남자,KR,10
65,김선영,여자,KR,62
66,김선영,여자,KR,31
67,김성문,남자,KR,10
68,김성일,남자,KR,55
69,김성집,남자,KR,29
70,김소희,여자,KR,55
71,김소희,여자,KR,42
72,김수경,남자,KR,27
73,김수녕,여자,KR,28
74,김순덕,여자,KR,66
75,김아랑,여자,KR,55
76,김연아,여자,KR,65
77,김영권,남자,KR,37
78,김영남,남자,KR,10
79,김영미,여자,KR,62
80,김영숙,여자,KR,49
81,김영숙,여자,KR,66
82,김영호,남자,KR,45
83,김영희,여자,KR,5
84,김예진,여자,KR,55
85,김옥화,여자,KR,49
86,김온아,여자,KR,49
87,김용배,남자,KR,66
88,김우진,남자,KR,28
89,김원기,남자,KR,10
90,김윤,남자,KR,66
91,김윤만,남자,KR,59
92,김윤미,여자,KR,55
93,김은미,여자,KR,49
94,김은숙,여자,KR,5
95,김은정,여자,KR,62
96,김의곤,남자,KR,10
97,김의태,남자,KR,31
98,김인섭,남자,KR,10
99,김장미,여자,KR,17
100,김재범,남자,KR,31
101,김재엽,남자,KR,31
102,김재환,남자,KR,49
103,김정미,여자,KR,49
104,김정심,여자,KR,49
105,김정주,남자,KR,15
106,김정철,남자,KR,66
107,김정환,남자,KR,45
108,김조순,여자,KR,28
109,김종규,남자,KR,10
110,김종신,남자,KR,10
111,김종현,남자,KR,17
112,김지연,여자,KR,45
113,김진호,여자,KR,28
114,김차연,여자,KR,49
115,김창수,남자,KR,37
116,김창희,남자,KR,29
117,김철민,남자,KR,59
118,김청태,남자,KR,28
119,김청환,남자,KR,66
120,김초희,여자,KR,62
121,김춘례,여자,KR,49
122,김춘이,여자,KR,49
123,김태균,남자,KR,27
124,김태우,남자,KR,10
125,김태윤,남자,KR,59
126,김태훈,남자,KR,42
127,김택수,남자,KR,41
128,김한수,남자,KR,27
129,김현미,여자,KR,49
130,김현성,남자,KR,37
131,김현수,남자,KR,27
132,김현옥,여자,KR,49
133,김현우,남자,KR,10
134,김화숙,여자,KR,49
135,김화순,여자,KR,5
136,남은영,여자,KR,49
137,남태희,남자,KR,37
138,남현희,여자,KR,45
139,노경선,남자,KR,10
140,노현석,남자,KR,49
141,당예서,여자,KR,41
142,라경민,여자,KR,14
143,류지혜,여자,KR,41
144,류현진,남자,KR,27
145,마금자,여자,KR,13
146,명복희,여자,KR,49
147,모지수,남자,KR,55
148,모태범,남자,KR,59
149,문경자,여자,KR,5
150,문경하,여자,KR,49
151,문대성,남자,KR,42
152,문의제,남자,KR,10
153,문필희,여자,KR,49
154,문향자,여자,KR,49
155,민경갑,남자,KR,10
156,민혜숙,여자,KR,49
157,박갑숙,여자,KR,49
158,박경모,남자,KR,28
159,박경완,남자,KR,27
160,박도헌,남자,KR,49
161,박미금,여자,KR,13
162,박미영,여자,KR,41
163,박상영,남자,KR,45
164,박성수,남자,KR,28
165,박성진,남자,KR,27
166,박성현,여자,KR,28
167,박순자,여자,KR,66
168,박승희,여자,KR,55
169,박시헌,남자,KR,15
170,박양계,여자,KR,5
171,박영대,남자,KR,49
172,박영철,남자,KR,31
173,박은철,남자,KR,10
174,박인비,여자,KR,2
175,박장순,남자,KR,10
176,박정림,여자,KR,49
177,박정희,여자,KR,49
178,박종우,남자,KR,37
179,박종호,남자,KR,27
180,박종훈,남자,KR,4
181,박주봉,남자,KR,14
182,박주영,남자,KR,37
183,박진만,남자,KR,27
184,박찬숙,여자,KR,5
185,박태환,남자,KR,22
186,박해정,여자,KR,41
187,박현숙,여자,KR,49
188,박혜원,여자,KR,55
189,방대두,남자,KR,10
190,방수현,여자,KR,14
191,배명선,여자,KR,13
192,배민희,여자,KR,49
193,백성동,남자,KR,37
194,백현만,남자,KR,15
195,변경자,여자,KR,13
196,변천사,여자,KR,55
197,봉중근,남자,KR,27
198,사재혁,남자,KR,29
199,서광미,여자,KR,66
200,서영우,남자,KR,54
201,서이라,남자,KR,55
202,서종호,남자,KR,66
203,서향순,여자,KR,28
204,서호진,남자,KR,55
205,서효선,여자,KR,66
206,석민희,여자,KR,49
207,석은미,여자,KR,41
208,성경화,여자,KR,49
209,성시백,남자,KR,55
210,성정아,여자,KR,5
211,손갑도,남자,KR,10
212,손미나,여자,KR,49
213,손민한,남자,KR,27
214,손승모,남자,KR,14
215,손태진,남자,KR,42
216,송대남,남자,KR,31
217,송명섭,남자,KR,42
218,송석우,남자,KR,55
219,송성태,남자,KR,66
220,송순천,남자,KR,15
221,송승준,남자,KR,27
222,송재근,남자,KR,55
223,송지현,여자,KR,49
224,송진우,남자,KR,27
225,송해림,여자,KR,49
226,신승찬,여자,KR,14
227,신아람,여자,KR,45
228,신영석,남자,KR,49
229,신준섭,남자,KR,15
230,신준식,남자,KR,42
231,심권호,남자,KR,10
232,심석희,여자,KR,55
233,심은정,여자,KR,14
234,심재홍,남자,KR,49
235,안대현,남자,KR,10
236,안바울,남자,KR,31
237,안병근,남자,KR,31
238,안상미,여자,KR,55
239,안영수,남자,KR,15
240,안재형,남자,KR,41
241,안정화,여자,KR,49
242,안한봉,남자,KR,10
243,안현수,남자,KR,55
244,앙현모,남자,KR,10
245,양영자,여자,KR,41
246,양정모,남자,KR,10
247,양태영,남자,KR,4
248,양학선,남자,KR,4
249,여갑순,여자,KR,17
250,여운곤,남자,KR,66
251,여홍철,남자,KR,4
252,오교문,남자,KR,28
253,오상은,남자,KR,41
254,오성옥,여자,KR,49
255,오세종,남자,KR,55
256,오승립,남자,KR,31
257,오승신,여자,KR,66
258,오승환,남자,KR,27
259,오영란,여자,KR,49
260,오용기,남자,KR,49
261,오은석,남자,KR,45
262,오재석,남자,KR,37
263,오진혁,남자,KR,28
264,오하나,여자,KR,45
265,오혜리,여자,KR,42
266,왕기춘,남자,KR,31
267,왕희경,여자,KR,28
268,우선희,여자,KR,49
269,우현정,여자,KR,66
270,원우영,남자,KR,45
271,원윤종,남자,KR,54
272,원혜경,여자,KR,55
273,유경화,여자,KR,13
274,유남규,남자,KR,41
275,유승민,남자,KR,41
276,유옥렬,남자,KR,4
277,유용성,남자,KR,14
278,유원철,남자,KR,4
279,유인탁,남자,KR,10
280,유제숙,여자,KR,66
281,윤경내,여자,KR,13
282,윤미진,여자,KR,28
283,윤병순,여자,KR,49
284,윤석영,남자,KR,37
285,윤성빈,남자,KR,57
286,윤수경,여자,KR,49
287,윤영숙,여자,KR,28
288,윤옥희,여자,KR,28
289,윤재영,남자,KR,41
290,윤진희,여자,KR,29
291,윤태일,남자,KR,49
292,윤현,남자,KR,31
293,윤혜영,여자,KR,28
294,이강석,남자,KR,59
295,이경근,남자,KR,31
296,이경원,여자,KR,14
297,이경호,남자,KR,49
298,이공주,여자,KR,49
299,이기순,여자,KR,49
300,이대호,남자,KR,27
301,이대훈,남자,KR,42
302,이동수,남자,KR,14
303,이미영,여자,KR,49
304,이미자,여자,KR,5
305,이민희,여자,KR,49
306,이배영,남자,KR,29
307,이범영,남자,KR,37
308,이병규,남자,KR,27
309,이보나,여자,KR,17
310,이봉주,남자,KR,32
311,이상기,남자,KR,45
312,이상모,남자,KR,49
313,이상은,여자,KR,49
314,이상호,남자,KR,56
315,이상화,여자,KR,59
316,이선희,여자,KR,42
317,이성진,여자,KR,28
318,이순복,여자,KR,13
319,이순옥,여자,KR,13
320,이순이,여자,KR,49
321,이승배,남자,KR,15
322,이승엽,남자,KR,27
323,이승윤,남자,KR,28
324,이승호,남자,KR,27
325,이승훈,남자,KR,59
326,이영하,여자,KR,49
327,이용규,남자,KR,27
328,이용대,혼성,KR,14
329,이원희,남자,KR,31
330,이유빈,여자,KR,55
331,이은경,여자,KR,28
332,이은경,여자,KR,66
333,이은별,여자,KR,55
334,이은실,여자,KR,41
335,이은영,여자,KR,66
336,이은철,남자,KR,17
337,이재석,남자,KR,10
338,이재진,남자,KR,14
339,이재혁,남자,KR,15
340,이정근,남자,KR,10
341,이정수,남자,KR,55
342,이종욱,남자,KR,27
343,이주형,남자,KR,4
344,이준호,남자,KR,55
