olympic_id,host_year,city_id,season
1,1896,1,하계
2,1900,2,하계
3,1904,3,하계
4,1906,1,하계
5,1908,4,하계
6,1912,5,하계
7,1920,7,하계
8,1924,2,하계
9,1924,8,동계
10,1928,9,하계
11,1928,10,동계
12,1932,11,하계
13,1932,12,동계
14,1936,6,하계
15,1936,13,동계
16,1948,4,하계
17,1948,10,동계
18,1952,14,하계
19,1952,16,동계
20,1956,17,하계
21,1956,15,동계
22,1960,18,하계
23,1960,19,동계
24,1964,20,하계
25,1964,21,동계
26,1968,22,하계
27,1968,23,동계
28,1972,24,하계
29,1972,25,동계
30,1976,26,하계
31,1976,21,동계
32,1980,27,하계
33,1980,12,동계
34,1984,11,하계
35,1984,28,동계
36,1988,29,하계
37,1988,30,동계
38,1992,31,하계
39,1992,32,동계
40,1994,33,동계
41,1996,34,하계
42,1998,35,동계
43,2000,36,하계
44,2002,37,동계
45,2004,1,하계
46,2006,38,동계
47,2008,39,하계
48,2010,40,동계
49,2012,4,하계
50,2014,41,동계
51,2016,42,하계
52,2018,43,동계
